date_str,shadow_S,shadow_gap
20260210,31481.0,-609.0
20260209,31002.0,-2158.0
20260201,29498.0,-1872.0
20260131,29559.0,-1771.0
20260127,33071.0,-169.0
20260126,29205.0,-5415.0
20260118,42021.0,411.0
20260105,42990.0,5440.0
20260104,35978.0,-132.0
20251224,36987.0,1747.0
20260218,29406.0,-444.0
20260217,30299.0,-221.0
20260216,30242.0,-118.0
20260209,31054.0,-2106.0
20260131,28960.0,-2370.0
20260128,32466.0,496.0
20260127,32131.0,-1109.0
20260126,28191.0,-6429.0
20260114,41064.0,654.0
20260106,44076.0,5026.0
20251231,36349.0,-131.0
20260218,28948.0,-902.0
20260216,30223.0,-137.0
20260106,46531.0,7481.0
20251231,36125.0,-355.0
20251215,32386.0,1066.0
20251213,28710.0,-1520.0
20260218,29418.0,-432.0
20260217,29947.0,-573.0
20260216,30154.0,-206.0
20260207,34901.0,1221.0
20260131,29230.0,-2100.0
20260126,28934.0,-5686.0
20260105,38771.0,1221.0
20251224,36881.0,1641.0
20251223,34239.0,309.0
20251215,32361.0,1041.0
20251213,31343.0,1113.0
20260218,29177.0,-673.0
20260217,29897.0,-623.0
20260216,30123.0,-237.0
20260214,29998.0,-2312.0
20260210,31552.0,-538.0
20260209,31202.0,-1958.0
20260207,34642.0,962.0
20260131,31204.0,-126.0
20260128,32374.0,404.0
20260127,30919.0,-2321.0
20260126,29480.0,-5140.0
20260118,41937.0,327.0
20251231,37950.0,1470.0
20251220,33875.0,1335.0
20251215,32437.0,1117.0
20251213,31424.0,1194.0
20251130,27757.0,1067.0
20251129,27758.0,1148.0
20251125,28301.0,1551.0
20251116,27359.0,2089.0
20251108,27129.0,879.0
20251004,23542.0,1912.0
20251001,22159.0,1359.0
20250930,22400.0,1940.0
20260218,29462.0,-388.0
20260217,30097.0,-423.0
20260216,30324.0,-36.0
20260215,30008.0,-1082.0
20260214,31709.0,-601.0
20260210,32057.0,-33.0
20260209,31492.0,-1668.0
20260208,33495.0,-925.0
20260207,34793.0,1113.0
20260202,32975.0,415.0
20260201,30638.0,-732.0
20260131,29674.0,-1656.0
20260128,33443.0,1473.0
20260127,30480.0,-2760.0
20260126,29677.0,-4943.0
20260125,32900.0,-3160.0
20260124,32840.0,-4720.0
20260119,41245.0,-75.0
20260118,41538.0,-72.0
20260114,39385.0,-1025.0
20260113,41928.0,-152.0
20260112,43015.0,795.0
20260111,41064.0,424.0
20260110,41636.0,1896.0
20260106,42913.0,3863.0
20260105,40190.0,2640.0
20260104,37126.0,1016.0
20251231,37527.0,1047.0
20251230,35537.0,-913.0
20251229,37985.0,45.0
20251228,39829.0,1899.0
20251227,39470.0,2870.0
20251224,36544.0,1304.0
20251223,35244.0,1314.0
20251222,34058.0,728.0
20251213,31201.0,971.0
20251209,30061.0,1071.0
20251201,28863.0,1203.0
20251129,28541.0,1931.0
20251125,28629.0,1879.0
20251108,27447.0,1197.0
20251011,24001.0,-299.0
20251004,22133.0,503.0
20250930,22587.0,2127.0
20260218,29452.0,-398.0
20260217,30510.0,-10.0
20260216,30287.0,-73.0
20260214,31974.0,-336.0
20260210,32152.0,62.0
20260209,31349.0,-1811.0
20260207,35560.0,1880.0
20260203,32185.0,-205.0
20260201,30965.0,-405.0
20260131,30641.0,-689.0
20260128,32792.0,822.0
20260127,32628.0,-612.0
20260126,29825.0,-4795.0
20260124,35329.0,-2231.0
20260121,39778.0,708.0
20260119,39345.0,-1975.0
20260118,41923.0,313.0
20260114,39337.0,-1073.0
20260113,41988.0,-92.0
20260112,43207.0,987.0
20260111,42541.0,1901.0
20260110,39880.0,140.0
20260106,43591.0,4541.0
20260105,39716.0,2166.0
20260104,37592.0,1482.0
20251231,38112.0,1632.0
20251230,35946.0,-504.0
20251229,38804.0,864.0
20251228,40097.0,2167.0
20251227,39283.0,2683.0
20251224,37547.0,2307.0
20251223,35403.0,1473.0
20251222,34377.0,1047.0
20251221,34820.0,1330.0
20251220,34442.0,1902.0
20251217,32572.0,1202.0
20251216,33161.0,1491.0
20251215,32419.0,1099.0
20251214,31539.0,1179.0
20251213,31324.0,1094.0
20251210,30408.0,1018.0
20251208,30000.0,1120.0
20251203,29722.0,1582.0
20251202,29758.0,1748.0
20251201,28965.0,1305.0
20251130,26314.0,-376.0
20251123,25867.0,97.0
20251119,27620.0,2790.0
20251118,26036.0,1226.0
20251004,27499.0,5869.0
20260218,29352.0,-498.0
20260217,30028.0,-492.0
20260216,30367.0,7.0
20260215,29980.0,-1110.0
20260214,31800.0,-510.0
20260210,31749.0,-341.0
20260209,31516.0,-1644.0
20260208,34036.0,-384.0
20260207,34642.0,962.0
20260203,32243.0,-147.0
20260202,32864.0,304.0
20260201,31660.0,290.0
