shadow_S,shadow_gap
35473.0,1543.0
34392.0,1062.0
35153.0,1663.0
34593.0,2053.0
32755.0,1385.0
32750.0,1080.0
32505.0,1185.0
31368.0,1008.0
31305.0,1075.0
30523.0,1133.0
30263.0,1513.0
28515.0,375.0
28609.0,599.0
29423.0,-427.0
30103.0,-417.0
30380.0,20.0
29933.0,-1157.0
31622.0,-688.0
31854.0,-236.0
31579.0,-1581.0
33836.0,-584.0
35237.0,1557.0
32440.0,50.0
32847.0,287.0
32072.0,702.0
29855.0,-1475.0
32378.0,408.0
30903.0,-2337.0
29768.0,-4852.0
33107.0,-2953.0
33360.0,-4200.0
39918.0,848.0
42389.0,1069.0
42097.0,487.0
39736.0,-674.0
42418.0,338.0
43160.0,940.0
41656.0,1016.0
40717.0,977.0
43552.0,4502.0
40557.0,3007.0
37285.0,1175.0
38233.0,1753.0
35667.0,-783.0
38903.0,963.0
40185.0,2255.0
39446.0,2846.0
37670.0,2430.0
35270.0,1340.0
34730.0,1400.0
35133.0,1643.0
34644.0,2104.0
32664.0,1294.0
32376.0,706.0
32412.0,1092.0
31514.0,1154.0
31312.0,1082.0
30661.0,1271.0
29824.0,834.0
29667.0,787.0
29354.0,604.0
29795.0,745.0
29413.0,1273.0
29275.0,1265.0
28782.0,1122.0
25169.0,-81.0
29487.0,-363.0
30089.0,-431.0
30290.0,-70.0
30123.0,-967.0
31555.0,-755.0
31823.0,-267.0
31540.0,-1620.0
34413.0,-7.0
34567.0,887.0
32259.0,-131.0
32554.0,-6.0
31938.0,568.0
30182.0,-1148.0
32406.0,436.0
30963.0,-2277.0
29741.0,-4879.0
32926.0,-3134.0
35294.0,-2266.0
39629.0,559.0
40022.0,-38.0
41303.0,-17.0
42130.0,520.0
39557.0,-853.0
42415.0,335.0
43358.0,1138.0
41853.0,1213.0
40690.0,950.0
43738.0,4688.0
40718.0,3168.0
37634.0,1524.0
38068.0,1588.0
35942.0,-508.0
39097.0,1157.0
40208.0,2278.0
39916.0,3316.0
37546.0,2306.0
35259.0,1329.0
34762.0,1432.0
35240.0,1750.0
34715.0,2175.0
32941.0,1571.0
32955.0,1285.0
32468.0,1148.0
31582.0,1222.0
31378.0,1148.0
30702.0,1312.0
29549.0,-301.0
30092.0,-428.0
30256.0,-104.0
29954.0,-1136.0
32005.0,-305.0
31915.0,-175.0
31560.0,-1600.0
34238.0,-182.0
34876.0,1196.0
32306.0,-84.0
32844.0,284.0
32131.0,761.0
30257.0,-1073.0
32346.0,376.0
31003.0,-2237.0
29937.0,-4683.0
33409.0,-2651.0
35811.0,-1749.0
39842.0,772.0
40860.0,800.0
41932.0,612.0
42181.0,571.0
39530.0,-880.0
42424.0,344.0
43404.0,1184.0
42053.0,1413.0
40877.0,1137.0
43956.0,4906.0
40767.0,3217.0
37713.0,1603.0
38358.0,1878.0
36320.0,-130.0
39459.0,1519.0
40503.0,2573.0
39999.0,3399.0
37814.0,2574.0
35491.0,1561.0
34947.0,1617.0
35284.0,1794.0
34909.0,2369.0
32943.0,1573.0
32852.0,1182.0
32554.0,1234.0
31459.0,1099.0
31279.0,1049.0
30604.0,1214.0
30136.0,1146.0
30246.0,1366.0
30122.0,1372.0
29897.0,847.0
29553.0,1413.0
29442.0,1432.0
29367.0,1707.0
27753.0,1063.0
27944.0,1334.0
29345.0,2685.0
29833.0,3083.0
29463.0,-387.0
30435.0,-85.0
30468.0,108.0
30345.0,-745.0
31773.0,-537.0
31952.0,-138.0
31589.0,-1571.0
34449.0,29.0
34825.0,1145.0
32866.0,476.0
32910.0,350.0
32037.0,667.0
30476.0,-854.0
32592.0,622.0
31132.0,-2108.0
29963.0,-4657.0
33484.0,-2576.0
36018.0,-1542.0
39779.0,709.0
41112.0,1052.0
41825.0,505.0
42171.0,561.0
39849.0,-561.0
42430.0,350.0
43695.0,1475.0
42277.0,1637.0
41492.0,1752.0
44144.0,5094.0
40791.0,3241.0
37913.0,1803.0
38395.0,1915.0
36500.0,50.0
39715.0,1775.0
40574.0,2644.0
40036.0,3436.0
37898.0,2658.0
35625.0,1695.0
35238.0,1908.0
35435.0,1945.0
34975.0,2435.0
33003.0,1633.0
32893.0,1223.0
32618.0,1298.0
31416.0,1056.0
31389.0,1159.0
30798.0,1408.0
30572.0,1582.0
30574.0,1694.0
30392.0,1642.0
30422.0,1372.0
30213.0,2073.0
29579.0,-271.0
30526.0,6.0
30550.0,190.0
30350.0,-740.0
32499.0,189.0
32239.0,149.0
31560.0,-1600.0
34977.0,557.0
35310.0,1630.0
33354.0,964.0
33659.0,1099.0
32466.0,1096.0
30592.0,-738.0
32909.0,939.0
31345.0,-1895.0
30513.0,-4107.0
33961.0,-2099.0
36476.0,-1084.0
40070.0,1000.0
41080.0,1020.0
41965.0,645.0
42167.0,557.0
39680.0,-730.0
42432.0,352.0
43870.0,1650.0
42370.0,1730.0
41405.0,1665.0
44520.0,5470.0
41067.0,3517.0
